DATE,GDP,CPI
2000-04-01,10247.72,170.1
2000-07-01,10318.165,171.4333333333333
2000-10-01,10435.744,173.0
2001-01-01,10470.231,174.23333333333335
2001-04-01,10599.0,175.9
2001-07-01,10598.02,177.13333333333333
2001-10-01,10660.465,177.63333333333333
2002-01-01,10783.5,177.5
2002-04-01,10887.46,178.0666666666667
2002-07-01,10984.04,179.46666666666667
2002-10-01,11061.433,180.4333333333333
2003-01-01,11174.129,181.5
2003-04-01,11312.766,183.36666666666667
2003-07-01,11566.669,183.0666666666667
2003-10-01,11772.234,184.4333333333333
2004-01-01,11923.447,185.13333333333333
2004-04-01,12112.815,186.70000000000002
2004-07-01,12305.307,188.16666666666666
2004-10-01,12527.214,189.36666666666667
2005-01-01,12767.286,191.4
2005-04-01,12922.656,192.36666666666667
2005-07-01,13142.642,193.66666666666666
2005-10-01,13324.204,196.6
2006-01-01,13599.16,198.4333333333333
2006-04-01,13753.424,199.46666666666667
2006-07-01,13870.188,201.26666666666665
2006-10-01,14039.56,203.16666666666666
2007-01-01,14215.651,202.33333333333334
2007-04-01,14402.082,204.317
2007-07-01,14564.117,206.631
2007-10-01,14715.058,207.939
2008-01-01,14706.538,210.4896666666667
2008-04-01,14865.701,212.76966666666667
2008-07-01,14898.999,215.5376666666667
2008-10-01,14608.209,218.861
2009-01-01,14430.902,213.84866666666667
2009-04-01,14381.236,212.37766666666667
2009-07-01,14448.882,213.50699999999998
2009-10-01,14651.249,215.34399999999997
2010-01-01,14764.61,217.03
2010-04-01,14980.193,217.37400000000002
2010-07-01,15141.607,217.29733333333334
2010-10-01,15309.474,217.93433333333334
2011-01-01,15351.448,219.69899999999998
2011-04-01,15557.539,222.04366666666667
2011-07-01,15647.68,224.56833333333336
2011-10-01,15842.259,226.03266666666664
2012-01-01,16068.805,227.04733333333334
2012-04-01,16207.115,228.32600000000002
2012-07-01,16319.541,228.808
2012-10-01,16420.419,229.841
2013-01-01,16648.189,231.36933333333332
2013-04-01,16728.687,232.29933333333335
2013-07-01,16953.838,232.045
2013-10-01,17192.019,233.29999999999998
2014-01-01,17197.738,234.1626666666667
2014-04-01,17518.508,235.621
2014-07-01,17804.228,236.87233333333333
2014-10-01,17912.079,237.47833333333332
2015-01-01,18063.529,236.88833333333332
2015-04-01,18279.784,235.35500000000002
2015-07-01,18401.626,236.96
2015-10-01,18435.137,237.855
2016-01-01,18525.933,237.837
2016-04-01,18711.702,237.68933333333334
2016-07-01,18892.639,239.59033333333332
2016-10-01,19089.379,240.60733333333334
2017-01-01,19280.084,242.13466666666667
2017-04-01,19438.643,243.83866666666665
2017-07-01,19692.595,244.12
2017-10-01,20037.088,245.287
2018-01-01,20328.553,247.23833333333334
2018-04-01,20580.912,249.3216666666667
2018-07-01,20798.73,250.679
2018-10-01,20917.867,251.68633333333332
2019-01-01,21111.6,252.711
2019-04-01,21397.938,253.38566666666665
2019-07-01,21717.171,255.24733333333333
2019-10-01,21933.217,256.08933333333334
2020-01-01,21727.657,257.888
2020-04-01,19935.444,258.81766666666664
2020-07-01,21684.551,256.292
2020-10-01,22068.767,259.22166666666664
2021-01-01,22656.793,261.0916666666667
2021-04-01,23368.861,263.6863333333333
2021-07-01,23921.991,268.5796666666667
2021-10-01,24777.038,272.8863333333333
2022-01-01,25215.491,278.71933333333334
2022-04-01,25805.791,284.8446666666666
2022-07-01,26272.011,291.651
2022-10-01,26734.277,295.50766666666664
2023-01-01,27164.359,298.49833333333333
2023-04-01,27453.815,301.19166666666666
2023-07-01,27967.697,303.4243333333333
2023-10-01,28296.967,306.0423333333333
2024-01-01,28624.069,308.15833333333336
